種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅:名称,最寄駅:距離(分),取引価格(総額),坪単価,間取り,面積(㎡),取引価格(㎡単価),土地の形状,間口,延床面積(㎡),建築年,建物の構造,用途,今後の利用目的,前面道路:方位,前面道路:種類,前面道路:幅員(m),都市計画,建ぺい率(%),容積率(%),取引時点,改装,取引の事情等
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,7,206000000,,,56,3678571,整形,8.6,,,,住宅,住宅,東,区道,4.6,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,麻布十番,麻布十番,14,491000000,,,190,2584210,整形,12.3,,,,住宅,住宅,北東,区道,5.3,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,青山,表参道,8,646000000,,,225,2871111,整形,8.2,,,,住宅,住宅,東,区道,8.6,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,芝,芝公園,14,661000000,,,252,2623015,整形,7.2,,,,住宅,住宅,東,区道,9.5,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,高輪,高輪台,14,476000000,,,194,2453608,整形,13.5,,,,住宅,住宅,東,区道,8.6,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,高輪,高輪台,8,324000000,,,91,3560439,整形,11.0,,,,住宅,住宅,東,区道,9.6,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,9,267000000,,,91,2934065,整形,7.6,,,,住宅,住宅,西,私道,8.1,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,麻布十番,麻布十番,9,765000000,,,251,3047808,整形,11.2,,,,住宅,住宅,南東,区道,9.7,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,白金,白金台,13,731000000,,,271,2697416,整形,10.4,,,,住宅,住宅,北東,区道,5.5,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,5,900000000,,,299,3010033,整形,10.9,,,,住宅,住宅,東,区道,4.3,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,白金,白金台,9,527000000,,,199,2648241,整形,11.9,,,,住宅,住宅,北,私道,7.2,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,芝,芝公園,8,668000000,,,242,2760330,整形,12.4,,,,住宅,住宅,北東,区道,6.7,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,7,790000000,,,268,2947761,不整形,9.9,,,,住宅,住宅,南東,区道,5.2,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,麻布十番,麻布十番,10,468000000,,,200,2340000,整形,4.6,,,,住宅,住宅,北東,私道,9.3,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,10,211000000,,,71,2971830,不整形,11.3,,,,住宅,住宅,南,私道,7.2,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,白金,白金台,11,748000000,,,291,2570446,不整形,11.1,,,,住宅,住宅,南西,区道,8.3,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,六本木,六本木,10,824000000,,,275,2996363,整形,6.4,,,,住宅,住宅,西,区道,6.0,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,3,249000000,,,67,3716417,不整形,9.9,,,,住宅,住宅,北西,区道,5.4,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,六本木,六本木,10,279000000,,,111,2513513,不整形,8.7,,,,住宅,住宅,南西,区道,4.6,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,14,173000000,,,65,2661538,整形,8.9,,,,住宅,住宅,西,私道,5.5,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,白金,白金台,10,271000000,,,96,2822916,整形,11.2,,,,住宅,住宅,東,私道,6.7,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,6,899000000,,,282,3187943,整形,5.8,,,,住宅,住宅,南西,区道,5.3,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,麻布十番,麻布十番,7,678000000,,,296,2290540,袋地,6.1,,,,住宅,住宅,北西,都道,5.7,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,麻布十番,麻布十番,3,930000000,,,237,3924050,整形,14.6,,,,住宅,住宅,南,区道,9.5,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,4,779000000,,,263,2961977,整形,6.7,,,,住宅,住宅,東,区道,5.4,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,白金,白金台,12,514000000,,,214,2401869,整形,6.9,,,,住宅,住宅,南東,私道,5.2,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,青山,表参道,7,616000000,,,218,2825688,整形,10.8,,,,住宅,住宅,北,私道,9.6,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,5,440000000,,,176,2500000,袋地,5.7,,,,住宅,住宅,南東,私道,9.3,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,芝,芝公園,15,512000000,,,203,2522167,整形,5.1,,,,住宅,住宅,北東,区道,8.9,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,5,750000000,,,236,3177966,整形,11.0,,,,住宅,住宅,西,区道,8.3,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,芝,芝公園,7,428000000,,,176,2431818,袋地,4.5,,,,住宅,住宅,南西,都道,4.6,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,芝,芝公園,10,289000000,,,90,3211111,整形,13.9,,,,住宅,住宅,東,区道,4.1,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,麻布十番,麻布十番,12,734000000,,,259,2833976,整形,13.9,,,,住宅,住宅,南東,区道,4.3,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,11,414000000,,,138,3000000,不整形,13.5,,,,住宅,住宅,南,区道,7.7,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,青山,表参道,3,954000000,,,270,3533333,整形,13.5,,,,住宅,住宅,南西,私道,8.7,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,3,453000000,,,146,3102739,不整形,7.4,,,,住宅,住宅,北西,区道,8.9,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,13,251000000,,,106,2367924,整形,11.1,,,,住宅,住宅,北東,区道,9.2,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,高輪,高輪台,4,949000000,,,285,3329824,不整形,5.2,,,,住宅,住宅,北東,区道,7.5,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,白金,白金台,15,393000000,,,136,2889705,整形,6.1,,,,住宅,住宅,南西,区道,7.1,第一種中高層住居専用地域,60,200,2026年第1四半期,,
