種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅:名称,最寄駅:距離(分),取引価格(総額),坪単価,間取り,面積(㎡),取引価格(㎡単価),土地の形状,間口,延床面積(㎡),建築年,建物の構造,用途,今後の利用目的,前面道路:方位,前面道路:種類,前面道路:幅員(m),都市計画,建ぺい率(%),容積率(%),取引時点,改装,取引の事情等
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,7,206000000,,,56,3678571,整形,8.6,,,,住宅,住宅,東,公道,4.6,第一種中高層住居専用地域,60,200,2025年第2四半期,,
宅地(土地),住宅地,13103,東京都,港区,麻布十番,麻布十番,14,474000000,,,190,2494736,整形,12.3,,,,住宅,住宅,北東,公道,5.3,第一種中高層住居専用地域,60,200,2023年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,青山,表参道,8,615000000,,,225,2733333,整形,8.2,,,,住宅,住宅,東,公道,8.6,第一種中高層住居専用地域,60,200,2023年第2四半期,,
宅地(土地),住宅地,13103,東京都,港区,芝,芝公園,14,648000000,,,252,2571428,整形,7.2,,,,住宅,住宅,東,公道,9.5,第一種中高層住居専用地域,60,200,2025年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,高輪,高輪台,14,440000000,,,194,2268041,整形,13.5,,,,住宅,住宅,東,公道,8.6,第一種中高層住居専用地域,60,200,2023年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,高輪,高輪台,8,311000000,,,91,3417582,整形,11.0,,,,住宅,住宅,東,公道,9.6,第一種中高層住居専用地域,60,200,2025年第2四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,9,259000000,,,91,2846153,整形,7.6,,,,住宅,住宅,西,私道,8.1,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,麻布十番,麻布十番,9,675000000,,,251,2689243,整形,11.2,,,,住宅,住宅,南東,公道,9.7,第一種中高層住居専用地域,60,200,2023年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,白金,白金台,13,720000000,,,271,2656826,整形,10.4,,,,住宅,住宅,北東,公道,5.5,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,5,868000000,,,299,2903010,整形,10.9,,,,住宅,住宅,東,公道,4.3,第一種中高層住居専用地域,60,200,2023年第3四半期,,
